"PLAYER","POS","LG","TEAM","AGE","$$$","PA","AB","IP","HR","RBI","SB","AVG","W","SV","ERA","WHIP"
"Willis, Dontrelle","SP","AL","DET","26","$5.40","","","200","","","","","12","0","4.50","1.44",
"Buchholz, Clay","SP","AL","BOS","23","$5.40","","","140","","","","","8","0","4.24","1.38",
"Wilkerson, Brad","1B,LF","AL","SEA","31","$5.38","436","377","","15","54","5","0.232","","","","",
"Greinke, Zack","SP","AL","KCA","24","$5.35","","","160","","","","","8","0","4.48","1.36",
"Crede, Joe","3B","AL","CHA","30","$5.32","436","396","","14","59","1","0.252","","","","",
"Catalanotto, Frank","LF","AL","TEX","34","$5.25","398","351","","7","47","2","0.283","","","","",
"Gaudin, Chad","SP","AL","OAK","25","$5.17","","","175","","","","","9","0","4.31","1.42",
"Vidro, Jose","DH","AL","SEA","33","$5.16","501","447","","5","48","1","0.281","","","","",
"Meche, Gil","SP","AL","KCA","29","$4.91","","","185","","","","","10","0","4.47","1.42",
"Mussina, Mike","SP","AL","NYA","39","$4.90","","","150","","","","","9","0","4.58","1.37",
"Pierzynski, A.J.","C","AL","CHA","31","$4.85","457","424","","11","53","1","0.260","","","","",
"Wang, Chien-Ming","SP","AL","NYA","28","$4.78","","","185","","","","","11","0","4.40","1.45",
"Hughes, Philip","SP","AL","NYA","22","$4.72","","","155","","","","","9","0","4.47","1.40",
"Rodriguez, Ivan","C","AL","DET","36","$4.72","412","391","","7","49","3","0.267","","","","",
"Varitek, Jason","C","AL","BOS","36","$4.68","412","354","","12","53","2","0.254","","","","",
"Accardo, Jeremy","RP","AL","TOR","26","$4.67","","","65","","","","","3","5","3.69","1.29",
"Payton, Jay","LF","AL","BAL","35","$4.36","387","359","","6","43","4","0.269","","","","",
"Okajima, Hideki","RP","AL","BOS","32","$4.32","","","60","","","","","3","5","3.68","1.29",
"Patterson, Scott","RP","AL","NYA","29","$4.31","","","60","","","","","4","1","3.51","1.20",
"Floyd, Cliff","RF","AL","TBA","35","$4.31","396","351","","10","48","3","0.257","","","","",
"Lamb, Mike","1B,3B","AL","MIN","32","$4.28","424","380","","8","50","2","0.265","","","","",
"Jones, Jacque","CF,RF","AL","DET","33","$4.21","384","353","","6","39","5","0.266","","","","",
"Howell, J.P.","Swing","AL","TBA","25","$4.15","","","110","","","","","6","0","4.15","1.35",
"Wheeler, Dan","RP","AL","TBA","30","$4.06","","","65","","","","","3","4","3.82","1.28",
"McGowan, Dustin","SP","AL","TOR","26","$3.96","","","175","","","","","9","0","4.60","1.41",
"Baker, Scott","SP","AL","MIN","26","$3.92","","","155","","","","","8","0","4.64","1.37",
"Benoit, Joaquin","RP","AL","TEX","30","$3.89","","","65","","","","","3","5","3.92","1.31",
"Buehrle, Mark","SP","AL","CHA","29","$3.88","","","180","","","","","10","0","4.72","1.41",
"Pena, Tony","SS","AL","KCA","27","$3.59","431","404","","3","38","7","0.257","","","","",
"Gobble, Jimmy","RP","AL","KCA","26","$3.53","","","65","","","","","2","4","3.57","1.31",
"Owens, Jerry","CF","AL","CHA","27","$3.44","222","202","","1","15","13","0.264","","","","",
"Grudzielanek, Mark","2B","AL","KCA","38","$3.43","408","382","","4","43","2","0.276","","","","",
"Peralta, Joel","RP","AL","KCA","32","$3.42","","","70","","","","","3","3","3.88","1.30",
"Morse, Michael","DH","AL","SEA","26","$3.35","419","379","","7","46","4","0.253","","","","",
"Sonnanstine, Andrew","SP","AL","TBA","25","$3.34","","","100","","","","","5","0","4.37","1.30",
"Laird, Gerald","C","AL","TEX","28","$3.33","370","336","","10","41","5","0.242","","","","",
"Speier, Justin","RP","AL","LAA","34","$3.07","","","55","","","","","3","2","3.63","1.24",
"Buck, John","C","AL","KCA","27","$3.06","444","396","","13","56","1","0.238","","","","",
"Murphy, David","LF","AL","TEX","26","$3.03","319","290","","7","36","4","0.266","","","","",
"Casilla, Santiago","RP","AL","OAK","28","$2.95","","","65","","","","","3","4","3.87","1.34",
"Francisco, Louis","LF","AL","CLE","26","$2.92","233","211","","6","29","6","0.272","","","","",
"Garland, Jon","SP","AL","LAA","28","$2.82","","","195","","","","","11","0","4.80","1.44",
"Westbrook, Jake","SP","AL","CLE","30","$2.74","","","175","","","","","10","0","4.53","1.46",
"Richar, Danny","2B","AL","CHA","25","$2.68","308","279","","8","34","4","0.260","","","","",
"Dellucci, David","LF","AL","CLE","34","$2.67","323","279","","10","42","3","0.250","","","","",
"Santana, Ervin","SP","AL","LAA","25","$2.58","","","145","","","","","8","0","4.62","1.41",
"Shields, Scot","RP","AL","LAA","32","$2.53","","","60","","","","","3","3","3.71","1.34",
"Rivera, Juan","DH","AL","LAA","29","$2.51","293","268","","8","42","0","0.280","","","","",
"Brown, Andrew","RP","AL","OAK","27","$2.47","","","65","","","","","3","3","3.85","1.34",
"Moore, Scott","3B","AL","BAL","24","$2.40","266","234","","10","35","4","0.249","","","","",
"Embree, Alan","RP","AL","OAK","38","$2.39","","","55","","","","","2","4","3.87","1.29",
"Michaels, Jason","LF,RF","AL","CLE","32","$2.30","326","289","","7","34","3","0.266","","","","",
"Delcarmen, Manuel","RP","AL","BOS","26","$2.28","","","60","","","","","3","3","3.80","1.34",
"Cruz, Nelson","RF","AL","TEX","27","$2.23","242","217","","9","33","4","0.256","","","","",
"Farnsworth, Kyle","RP","AL","NYA","32","$2.22","","","55","","","","","3","2","3.73","1.29",
"Frasor, Jason","RP","AL","TOR","30","$2.16","","","65","","","","","3","4","4.07","1.37",
"Navarro, Dioner","C","AL","TBA","24","$2.13","444","394","","8","47","3","0.242","","","","",
"Washburn, Jarrod","SP","AL","SEA","33","$2.09","","","160","","","","","8","0","4.70","1.42",
"Ozuna, Pablo","DH","AL","CHA","33","$1.94","274","254","","1","22","8","0.269","","","","",
"Downs, Scott","RP","AL","TOR","32","$1.93","","","55","","","","","2","3","3.63","1.32",
"Uribe, Juan","SS","AL","CHA","29","$1.87","330","299","","11","42","1","0.249","","","","",
"Millwood, Kevin","SP","AL","TEX","33","$1.78","","","160","","","","","8","0","4.67","1.43",
"Cabrera, Daniel","SP","AL","BAL","27","$1.72","","","180","","","","","9","0","4.59","1.47",
"Silva, Carlos","SP","AL","SEA","29","$1.41","","","165","","","","","8","0","4.82","1.42",
"Botts, Jason","LF","AL","TEX","27","$1.40","334","291","","10","40","2","0.242","","","","",
"Laffey, Aaron","SP","AL","CLE","23","$1.36","","","150","","","","","8","0","4.55","1.46",
"Kobayashi, Masahide","RP","AL","CLE","34","$1.21","","","50","","","","","2","9","4.85","1.46",
"Everett, Adam","SS","AL","MIN","31","$1.15","431","398","","4","36","7","0.234","","","","",
"Guerrier, Matt","RP","AL","MIN","29","$1.13","","","65","","","","","2","3","4.01","1.37",
"Saltalamacchia, Jarrod","C,1B","AL","TEX","23","$1.03","252","225","","8","33","1","0.269","","","","",
"Johnson, Reed","LF","AL","TOR","31","$0.99","317","286","","5","31","3","0.262","","","","",
"Linebrink, Scott","RP","AL","CHA","31","$0.96","","","65","","","","","3","2","4.17","1.37",
